rank,finalWorth,category,personName,age,country,city,source,industries,selfMade,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,Fashion & Retail,FALSE,M,03/05/1949 00:00,Arnault,Bernard,1949,3,5,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
2,180000,Automotive,Elon Musk,51,United States,Austin,"Tesla, SpaceX",Automotive,TRUE,M,6/28/1971 0:00,Musk,Elon,1971,6,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
3,114000,Technology,Jeff Bezos,59,United States,Medina,Amazon,Technology,TRUE,M,01/12/1964 00:00,Bezos,Jeff,1964,1,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
4,107000,Technology,Larry Ellison,78,United States,Lanai,Oracle,Technology,TRUE,M,8/17/1944 0:00,Ellison,Larry,1944,8,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
5,106000,Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,TRUE,M,8/30/1930 0:00,Buffett,Warren,1930,8,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
6,104000,Technology,Bill Gates,67,United States,Medina,Microsoft,Technology,TRUE,M,10/28/1955 0:00,Gates,Bill,1955,10,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,TRUE,M,2/14/1942 0:00,Bloomberg,Michael,1942,2,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,Telecom,TRUE,M,1/28/1940 0:00,Slim Helu,Carlos,1940,1,28,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024
9,83400,Diversified,Mukesh Ambani,65,India,Mumbai,Diversified,Diversified,FALSE,M,4/19/1957 0:00,Ambani,Mukesh,1957,4,19,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
10,80700,Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,TRUE,M,3/24/1956 0:00,Ballmer,Steve,1956,3,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,Fashion & Retail,FALSE,F,07/10/1953 00:00,Bettencourt Meyers,Francoise,1953,7,10,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
